index       block_cipher       substitution_cipher
  399             199               0 
  400             134               0 
  401              53               0 
  402             140               0 
  403             180               0 
  404             212               0 
  405             178               0 
  406             152               0 
  407              27               0 
  408              42               0 
  409             214               0 
  410              58               0 
  411             123               0 
  412             158               0 
  413             178               0 
  414             203               0 
  415             184               0 
  416               6               0 
  417              36               0 
  418             112               0 
  419             177               0 
  420             192               0 
  421              56               0 
  422             131               0 
  423             109               0 
  424             125               0 
  425              60               0 
  426             116               0 
  427              88               0 
  428             194               0 
  429             187               0 
  430             153               0 
  431             105               0 
  432             180               0 
  433             251               0 
  434              80               0 
  435              62               0 
  436              33               0 
  437             141               0 
  438             134               0 
  439              69               0 
  440             117               0 
  441             155               0 
  442             124               0 
  443              83               0 
  444             191               0 
  445               9               0 
  446              76               0 
  447             185               0 
  448              23               0 
  449             234               0 
  450             157               0 
  451             226               0 
  452             241               0 
  453             151               0 
  454             106               0 
  455             127               0 
  456              80               0 
  457              60               0 
  458              88               0 
  459              87               0 
  460              25               0 
  461              80               0 
  462               6               0 
  463             201               0 
  464              55               0 
  465              69               0 
  466             152               0 
  467             101               0 
  468               4               0 
  469             173               0 
  470             219               0 
  471              88               0 
  472              80               0 
  473               4               0 
  474              95               0 
  475             139               0 
  476             200               0 
  477             247               0 
  478             238               0 
  479             234               0 
  480             160               0 
  481             246               0 
  482              17               0 
  483             125               0 
  484             191               0 
  485             190               0 
  486              75               0 
  487              53               0 
  488             219               0 
  489             243               0 
  490             128               0 
  491             118               0 
  492             166               0 
  493              70               0 
  494             243               0 
  495              25               0 
  496              97               0 
  497             144               0 
  498             122               0 
  499              50               0 
  500             103               0 
  501              99               0 
  502             239               0 
  503             139               0 
  504              20               0 
  505             218               0 
  506             163               0 
  507             157               0 
  508              12               0 
  509             104               0 
  510             198               0 
  511              40               0 
  512             157               0 
  513              76               0 
  514              88               0 
  515             100               0 
  516              27               0 
  517              35               0 
  518             195               0 
  519              71               0 
  520             195               0 
  521              16               0 
  522             228               0 
  523              50               0 
  524             201               0 
  525               8               0 
  526              68               0 
  527             128               0 
  528              98               0 
  529             197               0 
  530             111               0 
  531              36               0 
  532              35               0 
  533             154               0 
  534             192               0 
  535             155               0 
  536             231               0 
  537              88               0 
  538              25               0 
  539             138               0 
  540              37               0 
  541             215               0 
  542             198               0 
  543              67               0 
  544             145               0 
  545             179               0 
  546             233               0 
  547             102               0 
  548             105               0 
  549             252               0 
  550             157               0 
  551              30               0 
  552             148               0 
  553             177               0 
  554              31               0 
  555             211               0 
  556              86               0 
  557              26               0 
  558             252               0 
  559             158               0 
  560              18               0 
  561              78               0 
  562             136               0 
  563             198               0 
  564             116               0 
  565             103               0 
  566             119               0 
  567              68               0 
  568              21               0 
  569             214               0 
  570             177               0 
  571             211               0 
  572             209               0 
  573             232               0 
  574             226               0 
  575             105               0 
  576             107               0 
  577              29               0 
  578              76               0 
  579              19               0 
  580             185               0 
  581             245               0 
  582              80               0 
  583              82               0 
  584             222               0 
  585             202               0 
  586             245               0 
  587              27               0 
  588             208               0 
  589             209               0 
  590             176               0 
  591             204               0 
  592             127               0 
  593              13               0 
  594              35               0 
  595              14               0 
  596               0               0 
  597              28               0 
  598             198               0 
  599               7               0 
  600              80               0 
  601             158               0 
  602             177               0 
  603             111               0 
  604              35               0 
  605              41               0 
  606              12               0 
  607              86               0 
  608              71               0 
  609             237               0 
  610              87               0 
  611             211               0 
  612             209               0 
  613             243               0 
  614             186               0 
  615             254               0 
  616             195               0 
  617             183               0 
  618              95               0 
  619             143               0 
  620             249               0 
  621             151               0 
  622              23               0 
  623             231               0 
  624              23               0 
  625             251               0 
  626             129               0 
  627             219               0 
  628             137               0 
  629               7               0 
  630             103               0 
  631              82               0 
  632              99               0 
  633             191               0 
  634              16               0 
  635              37               0 
  636              30               0 
  637             128               0 
  638             184               0 
  639             171               0 
  640               1               0 
  641             229               0 
  642              14               0 
  643               9               0 
  644             234               0 
  645               1               0 
  646              40               0 
  647              12               0 
  648              15               0 
  649             137               0 
  650             157               0 
  651             249               0 
  652              17               0 
  653              37               0 
  654             185               0 
  655             129               0 
  656             214               0 
  657              18               0 
  658             225               0 
  659             183               0 
  660              80               0 
  661             151               0 
  662              99               0 
  663              87               0 
  664             192               0 
  665              49               0 
  666             156               0 
  667             168               0 
  668             138               0 
  669              78               0 
  670             134               0 
  671              20               0 
  672             211               0 
  673              45               0 
  674             181               0 
  675             137               0 
  676              43               0 
  677              48               0 
  678             144               0 
  679              86               0 
  680             196               0 
  681              89               0 
  682             158               0 
  683              99               0 
  684             103               0 
  685             248               0 
  686               8               0 
  687             104               0 
  688              45               0 
  689             208               0 
  690             225               0 
  691              83               0 
  692              19               0 
  693              74               0 
  694             162               0 
  695              75               0 
  696             138               0 
  697             224               0 
  698             118               0 
  699             201               0 
  700             199               0 
  701             207               0 
  702             254               0 
  703             222               0 
  704              69               0 
  705              32               0 
  706             243               0 
  707              40               0 
  708             239               0 
  709              81               0 
  710              60               0 
  711             193               0 
  712             144               0 
  713              51               0 
  714             119               0 
  715             214               0 
  716              77               0 
  717             134               0 
  718             104               0 
  719             113               0 
  720              56               0 
  721             120               0 
  722             175               0 
  723             253               0 
  724             129               0 
  725              83               0 
  726              86               0 
  727             251               0 
  728             122 
  729             138 
  730              28 
  731             233 
  732             121 
  733             156 
  734             173 
  735             167 
  736             134 
  737             238 
  738              44 
  739              56 
  740              92 
  741              98 
  742             200 
  743              94 
  744             220 
  745             169 
  746              38 
  747               7 
  748              20 
  749             232 
  750             123 
  751              16 
  752             154 
  753             152 
  754              56 
  755             119 
  756              44 
  757              85 
  758             213 
  759             180 
  760              38 
  761             101 
  762              23 
  763              82 
  764             139 
  765             146 
  766             232 
  767              59 
  768             135 
